session_key,circuit_short_name,driver_number,compound,current_tyre_age,lap_duration
9472,Sakhir,1,SOFT,8,97.092
9472,Sakhir,1,SOFT,6,96.647
9472,Sakhir,1,SOFT,13,97.085
9472,Sakhir,1,SOFT,15,97.03
9472,Sakhir,1,SOFT,16,97.028
9472,Sakhir,1,SOFT,4,96.296
9472,Sakhir,1,SOFT,7,97.173
9472,Sakhir,1,SOFT,10,97.024
9472,Sakhir,1,SOFT,17,97.011
9472,Sakhir,1,SOFT,5,96.753
9472,Sakhir,1,SOFT,14,97.045
9472,Sakhir,1,SOFT,9,97.038
9472,Sakhir,1,SOFT,18,97.168
9472,Sakhir,1,SOFT,12,96.96
9472,Sakhir,1,SOFT,11,97.229
9472,Sakhir,1,SOFT,19,99.896
9472,Sakhir,1,HARD,13,95.679
9472,Sakhir,1,HARD,17,96.018
9472,Sakhir,1,HARD,14,95.886
9472,Sakhir,1,HARD,3,95.316
9472,Sakhir,1,HARD,9,95.581
9472,Sakhir,1,HARD,1,95.283
9472,Sakhir,1,HARD,2,95.16
9472,Sakhir,1,HARD,11,95.793
9472,Sakhir,1,HARD,12,95.771
9472,Sakhir,1,HARD,16,96.133
9472,Sakhir,1,HARD,7,95.342
9472,Sakhir,1,HARD,6,95.289
9472,Sakhir,1,HARD,10,95.477
9472,Sakhir,1,HARD,15,95.863
9472,Sakhir,1,HARD,5,95.216
9472,Sakhir,1,HARD,8,95.223
9472,Sakhir,1,HARD,19,99.234
9472,Sakhir,1,HARD,18,96.205
9472,Sakhir,1,HARD,4,95.204
9472,Sakhir,1,SOFT,5,94.151
9472,Sakhir,1,SOFT,10,94.35
9472,Sakhir,1,SOFT,16,95.334
9472,Sakhir,1,SOFT,3,95.29
9472,Sakhir,1,SOFT,1,92.608
9472,Sakhir,1,SOFT,11,94.403
9472,Sakhir,1,SOFT,18,94.671
9472,Sakhir,1,SOFT,9,94.239
9472,Sakhir,1,SOFT,7,94.249
9472,Sakhir,1,SOFT,6,94.531
9472,Sakhir,1,SOFT,8,94.193
9472,Sakhir,1,SOFT,13,94.34
9472,Sakhir,1,SOFT,14,94.906
9472,Sakhir,1,SOFT,2,96.589
9472,Sakhir,1,SOFT,19,94.923
9472,Sakhir,1,SOFT,17,95.184
9472,Sakhir,1,SOFT,4,94.667
9472,Sakhir,1,SOFT,15,95.6
9472,Sakhir,1,SOFT,12,94.783
9472,Sakhir,2,SOFT,10,95.972
9472,Sakhir,2,SOFT,2,95.001
9472,Sakhir,2,SOFT,4,95.333
9472,Sakhir,2,SOFT,3,95.13
