session_key,date_start,year,circuit_short_name,driver_number,team_name,grid_position,was_rainy,finishing_position,finishing_points,did_not_finish,driver_rolling_avg_points,driver_rolling_dnf_rate,team_rolling_avg_points,driver_circuit_avg_points
7953,2023-03-05 15:00:00,2023,Sakhir,1,Red Bull Racing,1,0,1.0,25,False,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,2,Williams,16,0,12.0,0,False,0.0,0.0,1.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,4,McLaren,11,0,17.0,0,False,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,10,Alpine,20,0,9.0,2,False,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,11,Red Bull Racing,2,0,2.0,18,False,0.0,0.0,25.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,14,Aston Martin,5,0,3.0,15,False,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,16,Ferrari,3,0,,0,True,0.0,0.0,12.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,18,Aston Martin,8,0,6.0,8,False,0.0,0.0,15.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,20,Haas F1 Team,17,0,13.0,0,False,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,21,AlphaTauri,19,0,14.0,0,False,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,22,AlphaTauri,14,0,11.0,0,False,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,23,Williams,15,0,10.0,1,False,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,24,Alfa Romeo,13,0,16.0,0,False,0.0,0.0,4.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,27,Haas F1 Team,10,0,15.0,0,False,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,31,Alpine,9,0,,0,True,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,44,Mercedes,7,0,5.0,10,False,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,55,Ferrari,4,0,4.0,12,False,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,63,Mercedes,6,0,7.0,6,False,0.0,0.0,10.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,77,Alfa Romeo,12,0,8.0,4,False,0.0,0.0,0.0,0.0
7953,2023-03-05 15:00:00,2023,Sakhir,81,McLaren,18,0,,0,True,0.0,0.0,0.0,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,1,Red Bull Racing,15,0,2.0,18,False,25.0,0.0,21.5,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,4,McLaren,19,0,17.0,0,False,0.0,0.0,0.0,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,10,Alpine,10,0,9.0,2,False,2.0,0.0,1.0,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,11,Red Bull Racing,1,0,1.0,25,False,18.0,0.0,20.333333333333332,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,14,Aston Martin,3,0,3.0,15,False,15.0,0.0,11.5,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,16,Ferrari,2,0,7.0,6,False,0.0,1.0,6.666666666666667,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,18,Aston Martin,6,0,,0,True,8.0,0.0,12.666666666666666,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,20,Haas F1 Team,13,0,10.0,1,False,0.0,0.0,0.0,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,21,AlphaTauri,18,0,14.0,0,False,0.0,0.0,0.0,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,22,AlphaTauri,16,0,11.0,0,False,0.0,0.0,0.0,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,23,Williams,17,0,,0,True,1.0,0.0,0.5,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,24,Alfa Romeo,12,0,13.0,0,False,0.0,0.0,1.3333333333333333,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,27,Haas F1 Team,11,0,12.0,0,False,0.0,0.0,0.3333333333333333,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,31,Alpine,7,0,8.0,4,False,0.0,1.0,1.3333333333333333,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,44,Mercedes,8,0,5.0,10,False,10.0,0.0,8.0,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,55,Ferrari,5,0,6.0,8,False,12.0,0.0,6.0,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,63,Mercedes,4,0,4.0,12,False,6.0,0.0,8.666666666666666,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,77,Alfa Romeo,14,0,18.0,0,False,4.0,0.0,2.0,0.0
7779,2023-03-19 17:00:00,2023,Jeddah,81,McLaren,9,0,15.0,0,False,0.0,1.0,0.0,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,1,Red Bull Racing,1,0,1.0,25,False,21.5,0.0,21.5,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,2,Williams,18,0,16.0,0,True,0.0,0.0,0.25,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,4,McLaren,13,0,6.0,8,False,0.0,0.0,0.0,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,10,Alpine,9,0,13.0,0,True,2.0,0.0,1.6,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,14,Aston Martin,4,0,3.0,15,False,15.0,0.0,9.5,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,16,Ferrari,7,0,,0,True,3.0,0.5,6.5,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,18,Aston Martin,6,0,4.0,12,False,4.0,0.5,10.6,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,20,Haas F1 Team,14,0,17.0,0,True,0.5,0.0,1.4,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,21,AlphaTauri,15,0,15.0,0,True,0.0,0.0,0.2,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,22,AlphaTauri,12,0,10.0,1,False,0.0,0.0,0.0,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,23,Williams,8,0,,0,True,0.5,0.5,0.2,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,24,Alfa Romeo,17,0,9.0,2,False,0.0,0.0,0.8,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,27,Haas F1 Team,10,0,7.0,6,False,0.0,0.0,0.25,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,31,Alpine,11,0,14.0,0,True,2.0,0.5,2.0,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,44,Mercedes,3,0,2.0,18,False,10.0,0.0,9.5,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,55,Ferrari,5,0,12.0,0,False,10.0,0.0,5.2,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,63,Mercedes,2,0,,0,True,9.0,0.0,11.2,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,77,Alfa Romeo,19,0,11.0,0,False,2.0,0.0,1.0,0.0
7787,2023-04-02 05:00:00,2023,Melbourne,81,McLaren,16,0,8.0,4,False,0.0,0.5,1.6,0.0
9069,2023-04-29 13:30:00,2023,Baku,1,Red Bull Racing,3,1,3.0,15,False,20.75,0.0,18.6,0.0
9069,2023-04-29 13:30:00,2023,Baku,1,Red Bull Racing,2,1,3.0,15,False,22.666666666666668,0.0,19.2,15.0
9069,2023-04-29 13:30:00,2023,Baku,4,McLaren,10,1,17.0,0,False,2.0,0.0,2.6,0.0
9069,2023-04-29 13:30:00,2023,Baku,4,McLaren,7,1,17.0,0,False,2.6666666666666665,0.0,2.6,0.0
9069,2023-04-29 13:30:00,2023,Baku,10,Alpine,19,1,13.0,0,False,1.0,0.25,0.0,0.0
9069,2023-04-29 13:30:00,2023,Baku,10,Alpine,19,1,13.0,0,False,1.3333333333333333,0.3333333333333333,1.6,0.0
9069,2023-04-29 13:30:00,2023,Baku,11,Red Bull Racing,3,1,1.0,25,False,19.5,0.0,18.0,25.0
9069,2023-04-29 13:30:00,2023,Baku,11,Red Bull Racing,2,1,1.0,25,False,17.666666666666668,0.0,18.0,0.0
9069,2023-04-29 13:30:00,2023,Baku,14,Aston Martin,8,1,6.0,8,False,13.25,0.0,10.0,0.0
9069,2023-04-29 13:30:00,2023,Baku,14,Aston Martin,6,1,6.0,8,False,15.0,0.0,10.0,8.0
9069,2023-04-29 13:30:00,2023,Baku,16,Ferrari,1,1,2.0,18,False,2.0,0.6666666666666666,6.8,18.0
9069,2023-04-29 13:30:00,2023,Baku,16,Ferrari,1,1,2.0,18,False,6.0,0.5,2.8,0.0
9069,2023-04-29 13:30:00,2023,Baku,18,Aston Martin,9,1,8.0,4,False,6.0,0.25,8.6,0.0
9069,2023-04-29 13:30:00,2023,Baku,18,Aston Martin,9,1,8.0,4,False,6.666666666666667,0.3333333333333333,9.4,4.0
9069,2023-04-29 13:30:00,2023,Baku,20,Haas F1 Team,14,1,11.0,0,False,0.25,0.25,1.4,0.0
9069,2023-04-29 13:30:00,2023,Baku,20,Haas F1 Team,18,1,11.0,0,False,0.3333333333333333,0.3333333333333333,1.4,0.0
9069,2023-04-29 13:30:00,2023,Baku,21,AlphaTauri,20,1,14.0,0,False,0.0,0.3333333333333333,0.2,0.0
9069,2023-04-29 13:30:00,2023,Baku,22,AlphaTauri,18,1,,0,True,0.25,0.25,0.2,0.0
9069,2023-04-29 13:30:00,2023,Baku,22,AlphaTauri,8,1,,0,True,0.3333333333333333,0.0,0.2,0.0
9069,2023-04-29 13:30:00,2023,Baku,23,Williams,13,1,9.0,2,False,0.75,0.5,0.0,0.0
9069,2023-04-29 13:30:00,2023,Baku,23,Williams,7,1,9.0,2,False,0.3333333333333333,0.6666666666666666,0.4,2.0
9069,2023-04-29 13:30:00,2023,Baku,24,Alfa Romeo,16,1,12.0,0,False,0.6666666666666666,0.0,0.4,0.0
9069,2023-04-29 13:30:00,2023,Baku,24,Alfa Romeo,16,1,12.0,0,False,0.5,0.0,0.4,0.0
